ElementID,CenterX,CenterY,CenterZ,eps_xx,eps_yy,eps_zz,eps_xy,eps_yz,eps_xz,vonMisesStrain,maxPrincipalStrain,minPrincipalStrain,sig_xx,sig_yy,sig_zz,sig_xy,sig_yz,sig_xz,vonMisesStress,maxPrincipalStress,minPrincipalStress
1,9.978612e+00,1.750000e+00,3.263155e-01,-1.065356e+00,-2.000000e+00,-9.345969e-01,0.000000e+00,8.673617e-19,1.995006e+00,1.332984e+00,-3.335623e-04,-2.000000e+00,-6.567058e+05,-8.076867e+05,-6.355831e+05,0.000000e+00,7.005614e-14,1.611351e+05,3.229923e+05,-5.922970e+05,-9.153200e+05
2,9.978612e+00,1.250000e+00,3.263155e-01,-1.065356e+00,-2.000000e+00,-9.345969e-01,0.000000e+00,8.673617e-19,1.995006e+00,1.332984e+00,-3.335623e-04,-2.000000e+00,-6.567058e+05,-8.076867e+05,-6.355831e+05,0.000000e+00,7.005614e-14,1.611351e+05,3.229923e+05,-5.922970e+05,-9.153200e+05
3,9.978612e+00,7.500000e-01,3.263155e-01,-1.065356e+00,-2.000000e+00,-9.345969e-01,0.000000e+00,8.673617e-19,1.995006e+00,1.332984e+00,-3.335623e-04,-2.000000e+00,-6.567058e+05,-8.076867e+05,-6.355831e+05,0.000000e+00,7.005614e-14,1.611351e+05,3.229923e+05,-5.922970e+05,-9.153200e+05
4,9.978612e+00,2.500000e-01,3.263155e-01,-1.065356e+00,-2.000000e+00,-9.345969e-01,-8.481479e-17,8.673617e-19,1.995006e+00,1.332984e+00,-3.335623e-04,-2.000000e+00,-6.567058e+05,-8.076867e+05,-6.355831e+05,-6.850425e-12,7.005614e-14,1.611351e+05,3.229923e+05,-5.922970e+05,-9.153200e+05
5,9.935836e+00,1.750000e+00,9.789464e-01,-1.065356e+00,-2.000000e+00,-9.345969e-01,0.000000e+00,0.000000e+00,1.995006e+00,1.332984e+00,-3.335632e-04,-2.000000e+00,-6.567058e+05,-8.076867e+05,-6.355831e+05,0.000000e+00,0.000000e+00,1.611351e+05,3.229923e+05,-5.922970e+05,-9.153200e+05
6,9.935836e+00,1.250000e+00,9.789464e-01,-1.065356e+00,-2.000000e+00,-9.345969e-01,0.000000e+00,0.000000e+00,1.995006e+00,1.332984e+00,-3.335632e-04,-2.000000e+00,-6.567058e+05,-8.076867e+05,-6.355831e+05,0.000000e+00,0.000000e+00,1.611351e+05,3.229923e+05,-5.922970e+05,-9.153200e+05
7,9.935836e+00,7.500000e-01,9.789464e-01,-1.065356e+00,-2.000000e+00,-9.345969e-01,0.000000e+00,0.000000e+00,1.995006e+00,1.332984e+00,-3.335632e-04,-2.000000e+00,-6.567058e+05,-8.076867e+05,-6.355831e+05,0.000000e+00,0.000000e+00,1.611351e+05,3.229923e+05,-5.922970e+05,-9.153200e+05
8,9.935836e+00,2.500000e-01,9.789464e-01,-1.065356e+00,-2.000000e+00,-9.345969e-01,-1.696296e-16,-6.242176e-26,1.995006e+00,1.332984e+00,-3.335632e-04,-2.000000e+00,-6.567058e+05,-8.076867e+05,-6.355831e+05,-1.370085e-11,-5.041758e-21,1.611351e+05,3.229923e+05,-5.922970e+05,-9.153200e+05
9,9.850651e+00,1.750000e+00,1.625994e+00,-1.194951e+00,-2.000000e+00,-8.697533e-01,9.098223e-16,2.210986e-18,1.969407e+00,1.320704e+00,-3.431424e-02,-2.030390e+00,-6.854851e+05,-8.155315e+05,-6.329532e+05,7.348565e-11,1.785797e-13,1.590675e+05,3.200167e+05,-6.022059e+05,-9.246489e+05
10,9.850651e+00,1.250000e+00,1.625994e+00,-1.194951e+00,-2.000000e+00,-8.697533e-01,9.098223e-16,2.210986e-18,1.969407e+00,1.320704e+00,-3.431424e-02,-2.030390e+00,-6.854851e+05,-8.155315e+05,-6.329532e+05,7.348565e-11,1.785797e-13,1.590675e+05,3.200167e+05,-6.022059e+05,-9.246489e+05
11,9.850651e+00,7.500000e-01,1.625994e+00,-1.194951e+00,-2.000000e+00,-8.697533e-01,9.098223e-16,2.210986e-18,1.969407e+00,1.320704e+00,-3.431424e-02,-2.030390e+00,-6.854851e+05,-8.155315e+05,-6.329532e+05,7.348565e-11,1.785797e-13,1.590675e+05,3.200167e+05,-6.022059e+05,-9.246489e+05
12,9.850651e+00,2.500000e-01,1.625994e+00,-1.194951e+00,-2.000000e+00,-8.697533e-01,7.401928e-16,2.210986e-18,1.969407e+00,1.320704e+00,-3.431424e-02,-2.030390e+00,-6.854851e+05,-8.155315e+05,-6.329532e+05,5.978480e-11,1.785797e-13,1.590675e+05,3.200167e+05,-6.022059e+05,-9.246489e+05
13,9.723056e+00,1.750000e+00,2.267458e+00,-1.194951e+00,-2.000000e+00,-8.049097e-01,-9.098223e-16,-1.132333e-16,1.960870e+00,1.333000e+00,-2.872714e-04,-2.000000e+00,-6.776291e+05,-8.076754e+05,-6.146224e+05,-7.348565e-11,-9.145766e-12,1.583780e+05,3.229961e+05,-5.922758e+05,-9.153063e+05
14,9.723056e+00,1.250000e+00,2.267458e+00,-1.194951e+00,-2.000000e+00,-8.049097e-01,-9.098223e-16,-1.132333e-16,1.960870e+00,1.333000e+00,-2.872714e-04,-2.000000e+00,-6.776291e+05,-8.076754e+05,-6.146224e+05,-7.348565e-11,-9.145766e-12,1.583780e+05,3.229961e+05,-5.922758e+05,-9.153063e+05
15,9.723056e+00,7.500000e-01,2.267458e+00,-1.194951e+00,-2.000000e+00,-8.049097e-01,-9.098223e-16,-1.132333e-16,1.960870e+00,1.333000e+00,-2.872714e-04,-2.000000e+00,-6.776291e+05,-8.076754e+05,-6.146224e+05,-7.348565e-11,-9.145766e-12,1.583780e+05,3.229961e+05,-5.922758e+05,-9.153063e+05
16,9.723056e+00,2.500000e-01,2.267458e+00,-1.194951e+00,-2.000000e+00,-8.049097e-01,-8.250075e-16,-1.132333e-16,1.960870e+00,1.333000e+00,-2.872714e-04,-2.000000e+00,-6.776291e+05,-8.076754e+05,-6.146224e+05,-6.663522e-11,-9.145766e-12,1.583780e+05,3.229961e+05,-5.922758e+05,-9.153063e+05
17,9.554143e+00,1.750000e+00,2.897851e+00,-1.321210e+00,-2.000000e+00,-7.417351e-01,9.595014e-16,-4.321552e-16,1.910112e+00,1.320990e+00,-3.343468e-02,-2.029510e+00,-7.056677e+05,-8.153184e+05,-6.120602e+05,7.749819e-11,-3.490485e-11,1.542783e+05,3.200861e+05,-6.019454e+05,-9.243884e+05
18,9.554143e+00,1.250000e+00,2.897851e+00,-1.321210e+00,-2.000000e+00,-7.417351e-01,9.595014e-16,-4.321552e-16,1.910112e+00,1.320990e+00,-3.343468e-02,-2.029510e+00,-7.056677e+05,-8.153184e+05,-6.120602e+05,7.749819e-11,-3.490485e-11,1.542783e+05,3.200861e+05,-6.019454e+05,-9.243884e+05
19,9.554143e+00,7.500000e-01,2.897851e+00,-1.321210e+00,-2.000000e+00,-7.417351e-01,9.595014e-16,-4.321552e-16,1.910112e+00,1.320990e+00,-3.343468e-02,-2.029510e+00,-7.056677e+05,-8.153184e+05,-6.120602e+05,7.749819e-11,-3.490485e-11,1.542783e+05,3.200861e+05,-6.019454e+05,-9.243884e+05
20,9.554143e+00,2.500000e-01,2.897851e+00,-1.321210e+00,-2.000000e+00,-7.417351e-01,1.341168e-15,-3.627663e-16,1.910112e+00,1.320990e+00,-3.343468e-02,-2.029510e+00,-7.056677e+05,-8.153184e+05,-6.120602e+05,1.083251e-10,-2.930036e-11,1.542783e+05,3.200861e+05,-6.019454e+05,-9.243884e+05
21,9.343911e+00,1.750000e+00,3.517173e+00,-1.321210e+00,-2.000000e+00,-6.785605e-01,-8.881784e-16,-2.220446e-16,1.893184e+00,1.333015e+00,-2.421771e-04,-2.000000e+00,-6.980138e+05,-8.076645e+05,-5.942012e+05,-7.173749e-11,-1.793437e-11,1.529110e+05,3.229997e+05,-5.922552e+05,-9.152930e+05
22,9.343911e+00,1.250000e+00,3.517173e+00,-1.321210e+00,-2.000000e+00,-6.785605e-01,-8.881784e-16,-2.220446e-16,1.893184e+00,1.333015e+00,-2.421771e-04,-2.000000e+00,-6.980138e+05,-8.076645e+05,-5.942012e+05,-7.173749e-11,-1.793437e-11,1.529110e+05,3.229997e+05,-5.922552e+05,-9.152930e+05
23,9.343911e+00,7.500000e-01,3.517173e+00,-1.321210e+00,-2.000000e+00,-6.785605e-01,-8.881784e-16,-2.220446e-16,1.893184e+00,1.333015e+00,-2.421771e-04,-2.000000e+00,-6.980138e+05,-8.076645e+05,-5.942012e+05,-7.173749e-11,-1.793437e-11,1.529110e+05,3.229997e+05,-5.922552e+05,-9.152930e+05
24,9.343911e+00,2.500000e-01,3.517173e+00,-1.321210e+00,-2.000000e+00,-6.785605e-01,-8.881784e-16,-8.326673e-17,1.893184e+00,1.333015e+00,-2.421771e-04,-2.000000e+00,-6.980138e+05,-8.076645e+05,-5.942012e+05,-7.173749e-11,-6.725389e-12,1.529110e+05,3.229997e+05,-5.922552e+05,-9.152930e+05
25,9.094160e+00,1.750000e+00,4.120126e+00,-1.441973e+00,-2.000000e+00,-6.181359e-01,9.813772e-17,4.671302e-16,1.818134e+00,1.321453e+00,-3.201652e-02,-2.028092e+00,-7.248319e+05,-8.149747e+05,-5.917505e+05,7.926508e-12,3.772975e-11,1.468493e+05,3.201981e+05,-6.015254e+05,-9.239684e+05
26,9.094160e+00,1.250000e+00,4.120126e+00,-1.441973e+00,-2.000000e+00,-6.181359e-01,9.813772e-17,4.671302e-16,1.818134e+00,1.321453e+00,-3.201652e-02,-2.028092e+00,-7.248319e+05,-8.149747e+05,-5.917505e+05,7.926508e-12,3.772975e-11,1.468493e+05,3.201981e+05,-6.015254e+05,-9.239684e+05
27,9.094160e+00,7.500000e-01,4.120126e+00,-1.441973e+00,-2.000000e+00,-6.181359e-01,9.813772e-17,4.671302e-16,1.818134e+00,1.321453e+00,-3.201652e-02,-2.028092e+00,-7.248319e+05,-8.149747e+05,-5.917505e+05,7.926508e-12,3.772975e-11,1.468493e+05,3.201981e+05,-6.015254e+05,-9.239684e+05
28,9.094160e+00,2.500000e-01,4.120126e+00,-1.441973e+00,-2.000000e+00,-6.181359e-01,7.693402e-17,5.365192e-16,1.818134e+00,1.321453e+00,-3.201652e-02,-2.028092e+00,-7.248319e+05,-8.149747e+05,-5.917505e+05,6.213902e-12,4.333424e-11,1.468493e+05,3.201981e+05,-6.015254e+05,-9.239684e+05
29,8.804889e+00,1.750000e+00,4.706709e+00,-1.441973e+00,-2.000000e+00,-5.577113e-01,6.919030e-16,-4.901712e-16,1.793105e+00,1.333029e+00,-1.990483e-04,-2.000000e+00,-7.175112e+05,-8.076541e+05,-5.746690e+05,5.588447e-11,-3.959075e-11,1.448277e+05,3.230032e+05,-5.922354e+05,-9.152802e+05
30,8.804889e+00,1.250000e+00,4.706709e+00,-1.441973e+00,-2.000000e+00,-5.577113e-01,6.919030e-16,-4.901712e-16,1.793105e+00,1.333029e+00,-1.990483e-04,-2.000000e+00,-7.175112e+05,-8.076541e+05,-5.746690e+05,5.588447e-11,-3.959075e-11,1.448277e+05,3.230032e+05,-5.922354e+05,-9.152802e+05
31,8.804889e+00,7.500000e-01,4.706709e+00,-1.441973e+00,-2.000000e+00,-5.577113e-01,6.919030e-16,-4.901712e-16,1.793105e+00,1.333029e+00,-1.990483e-04,-2.000000e+00,-7.175112e+05,-8.076541e+05,-5.746690e+05,5.588447e-11,-3.959075e-11,1.448277e+05,3.230032e+05,-5.922354e+05,-9.152802e+05
32,8.804889e+00,2.500000e-01,4.706709e+00,-1.441973e+00,-2.000000e+00,-5.577113e-01,6.919030e-16,-4.901712e-16,1.793105e+00,1.333029e+00,-1.990483e-04,-2.000000e+00,-7.175112e+05,-8.076541e+05,-5.746690e+05,5.588447e-11,-3.959075e-11,1.448277e+05,3.230032e+05,-5.922354e+05,-9.152802e+05
