ElementID,CenterX,CenterY,CenterZ,eps_xx,eps_yy,eps_zz,eps_xy,eps_yz,eps_xz,vonMisesStrain,maxPrincipalStrain,minPrincipalStrain,sig_xx,sig_yy,sig_zz,sig_xy,sig_yz,sig_xz,vonMisesStress,maxPrincipalStress,minPrincipalStress
1,3.105877e-01,1.750000e+00,2.635424e-01,-2.430765e-01,-2.000000e+00,-1.762493e+00,-6.938894e-18,0.000000e+00,1.289268e+00,1.328753e+00,-6.436691e-03,-2.000000e+00,-5.245563e+05,-8.083671e+05,-7.700005e+05,-5.604491e-13,0.000000e+00,1.041332e+05,3.219671e+05,-5.935822e+05,-9.156194e+05
2,3.105877e-01,1.250000e+00,2.635424e-01,-2.430765e-01,-2.000000e+00,-1.762493e+00,-6.938894e-18,0.000000e+00,1.289268e+00,1.328753e+00,-6.436691e-03,-2.000000e+00,-5.245563e+05,-8.083671e+05,-7.700005e+05,-5.604491e-13,0.000000e+00,1.041332e+05,3.219671e+05,-5.935822e+05,-9.156194e+05
3,3.105877e-01,7.500000e-01,2.635424e-01,-2.430765e-01,-2.000000e+00,-1.762493e+00,-6.938894e-18,0.000000e+00,1.289268e+00,1.328753e+00,-6.436691e-03,-2.000000e+00,-5.245563e+05,-8.083671e+05,-7.700005e+05,-5.604491e-13,0.000000e+00,1.041332e+05,3.219671e+05,-5.935822e+05,-9.156194e+05
4,3.105877e-01,2.500000e-01,2.635424e-01,-2.430765e-01,-2.000000e+00,-1.762493e+00,-6.938894e-18,6.257824e-26,1.289268e+00,1.328753e+00,-6.436691e-03,-2.000000e+00,-5.245563e+05,-8.083671e+05,-7.700005e+05,-5.604491e-13,5.054396e-21,1.041332e+05,3.219671e+05,-5.935822e+05,-9.156194e+05
5,9.317630e-01,1.750000e+00,7.906272e-01,-2.430765e-01,-2.000000e+00,-1.762493e+00,-5.551115e-17,8.326673e-17,1.289268e+00,1.328753e+00,-6.436691e-03,-2.000000e+00,-5.245563e+05,-8.083671e+05,-7.700005e+05,-4.483593e-12,6.725389e-12,1.041332e+05,3.219671e+05,-5.935822e+05,-9.156194e+05
6,9.317630e-01,1.250000e+00,7.906272e-01,-2.430765e-01,-2.000000e+00,-1.762493e+00,-5.551115e-17,8.326673e-17,1.289268e+00,1.328753e+00,-6.436691e-03,-2.000000e+00,-5.245563e+05,-8.083671e+05,-7.700005e+05,-4.483593e-12,6.725389e-12,1.041332e+05,3.219671e+05,-5.935822e+05,-9.156194e+05
7,9.317630e-01,7.500000e-01,7.906272e-01,-2.430765e-01,-2.000000e+00,-1.762493e+00,-5.551115e-17,8.326673e-17,1.289268e+00,1.328753e+00,-6.436691e-03,-2.000000e+00,-5.245563e+05,-8.083671e+05,-7.700005e+05,-4.483593e-12,6.725389e-12,1.041332e+05,3.219671e+05,-5.935822e+05,-9.156194e+05
8,9.317630e-01,2.500000e-01,7.906272e-01,-2.430765e-01,-2.000000e+00,-1.762493e+00,1.213110e-17,8.326673e-17,1.289268e+00,1.328753e+00,-6.436691e-03,-2.000000e+00,-5.245563e+05,-8.083671e+05,-7.700005e+05,9.798194e-13,6.725389e-12,1.041332e+05,3.219671e+05,-5.935822e+05,-9.156194e+05
9,1.556309e+00,1.750000e+00,1.166418e+00,-6.616566e-02,-2.000000e+00,-1.852959e+00,1.036764e-16,-1.844403e-17,8.231629e-01,1.330861e+00,2.408238e-02,-2.000000e+00,-4.855053e+05,-7.978939e+05,-7.741411e+05,8.373866e-12,-1.489710e-12,6.648623e+04,3.224779e+05,-5.737996e+05,-9.007668e+05
10,1.556309e+00,1.250000e+00,1.166418e+00,-6.616566e-02,-2.000000e+00,-1.852959e+00,1.036764e-16,-1.844403e-17,8.231629e-01,1.330861e+00,2.408238e-02,-2.000000e+00,-4.855053e+05,-7.978939e+05,-7.741411e+05,8.373866e-12,-1.489710e-12,6.648623e+04,3.224779e+05,-5.737996e+05,-9.007668e+05
11,1.556309e+00,7.500000e-01,1.166418e+00,-6.616566e-02,-2.000000e+00,-1.852959e+00,1.036764e-16,-1.844403e-17,8.231629e-01,1.330861e+00,2.408238e-02,-2.000000e+00,-4.855053e+05,-7.978939e+05,-7.741411e+05,8.373866e-12,-1.489710e-12,6.648623e+04,3.224779e+05,-5.737996e+05,-9.007668e+05
12,1.556309e+00,2.500000e-01,1.166418e+00,-6.616566e-02,-2.000000e+00,-1.852959e+00,-1.439911e-16,-1.844403e-17,8.231629e-01,1.330861e+00,2.408238e-02,-2.000000e+00,-4.855053e+05,-7.978939e+05,-7.741411e+05,-1.163005e-11,-1.489710e-12,6.648623e+04,3.224779e+05,-5.737996e+05,-9.007668e+05
13,2.185134e+00,1.750000e+00,1.389333e+00,-6.346626e-02,-2.000000e+00,-1.943425e+00,2.220446e-16,0.000000e+00,6.607524e-01,1.328533e+00,-7.097460e-03,-2.000000e+00,-4.957025e+05,-8.085272e+05,-7.993881e+05,1.793437e-11,0.000000e+00,5.336846e+04,3.219137e+05,-5.938846e+05,-9.158150e+05
