ElementID,exx,eyy,ezz,exy,eyz,exz,VonMises,Volumetric,MaxShear,Jacobian
1,0.626441,-0.00807654,0,-0.000485463,-3.21882e-18,1.66353e-17,0.297229,0.618364,0.317259,20
2,0.62831,-0.00815725,0,5.80674e-10,2.76872e-17,-2.83215e-17,0.29813,0.620153,0.318234,20
3,0.62831,-0.00815725,0,-1.57888e-10,6.66379e-17,1.4925e-16,0.29813,0.620153,0.318234,20
4,0.62831,-0.00815725,0,-3.49017e-10,4.70171e-17,8.47858e-17,0.29813,0.620153,0.318234,20
5,0.62831,-0.00815725,0,2.02152e-10,4.98518e-17,4.5244e-16,0.29813,0.620153,0.318234,20
6,0.62831,-0.00815725,0,-2.02154e-10,2.26731e-17,-4.05328e-16,0.29813,0.620153,0.318234,20
7,0.62831,-0.00815725,0,3.49016e-10,2.52422e-16,-9.43211e-16,0.29813,0.620153,0.318234,20
8,0.62831,-0.00815725,0,1.08247e-15,2.64606e-16,-6.31463e-16,0.29813,0.620153,0.318234,20
9,0.62831,-0.00815725,0,-3.49016e-10,5.37933e-17,4.08064e-16,0.29813,0.620153,0.318234,20
10,0.626441,-0.00807654,0,0.000485463,7.73439e-16,1.23778e-15,0.297229,0.618364,0.317259,20
11,0.447338,-0.00807654,0,-0.000485463,-5.77236e-18,-2.37317e-17,0.212807,0.439261,0.227708,20
12,0.448198,-0.00815725,0,-3.97785e-10,3.82359e-18,-5.97097e-19,0.213231,0.440041,0.228178,20
13,0.448198,-0.00815725,0,-9.52161e-11,2.73451e-17,1.08662e-16,0.213231,0.440041,0.228178,20
14,0.448198,-0.00815725,0,9.55341e-11,-2.77992e-17,2.93351e-17,0.213231,0.440041,0.228178,20
15,0.448198,-0.00815725,0,3.13981e-11,-1.00247e-19,-2.88304e-16,0.213231,0.440041,0.228178,20
16,0.448198,-0.00815725,0,-3.13972e-11,-6.35069e-17,1.29126e-17,0.213231,0.440041,0.228178,20
17,0.448198,-0.00815725,0,-9.55346e-11,-2.43526e-16,7.39385e-17,0.213231,0.440041,0.228178,20
18,0.448198,-0.00815725,0,2.84495e-16,-2.6475e-16,1.18945e-16,0.213231,0.440041,0.228178,20
19,0.448198,-0.00815725,0,9.55348e-11,1.76835e-16,1.39531e-16,0.213231,0.440041,0.228178,20
20,0.447338,-0.00807654,0,0.000485463,-7.32341e-16,-3.76338e-16,0.212807,0.439261,0.227708,20
21,0.283742,-0.00807654,0,-0.000485462,7.36123e-18,-4.72478e-18,0.135701,0.275665,0.14591,20
22,0.283748,-0.00815725,0,4.11651e-10,-7.19746e-18,-4.40873e-17,0.135724,0.275591,0.145953,20
23,0.283748,-0.00815725,0,4.42464e-10,3.51135e-18,3.26923e-17,0.135724,0.275591,0.145953,20
24,0.283748,-0.00815725,0,1.38985e-10,-6.1635e-17,-1.8253e-16,0.135724,0.275591,0.145953,20
25,0.283748,-0.00815725,0,-6.04083e-10,8.42954e-19,2.6221e-16,0.135724,0.275591,0.145953,20
26,0.283748,-0.00815725,0,6.04082e-10,-6.66839e-17,-1.16726e-16,0.135724,0.275591,0.145953,20
27,0.283748,-0.00815725,0,-1.38985e-10,2.24102e-16,2.44492e-16,0.135724,0.275591,0.145953,20
28,0.283748,-0.00815725,0,-7.97973e-16,-2.59433e-16,4.32633e-16,0.135724,0.275591,0.145953,20
29,0.283748,-0.00815725,0,1.38985e-10,2.04374e-16,5.73971e-16,0.135724,0.275591,0.145953,20
30,0.283742,-0.00807654,0,0.000485462,-5.8334e-16,6.71317e-16,0.135701,0.275665,0.14591,20
31,0.135653,-0.00807654,0,-0.000485463,-5.78592e-18,-5.29733e-19,0.0659348,0.127576,0.0718664,20
32,0.13496,-0.00815725,0,-2.89505e-10,1.33408e-17,1.72304e-17,0.065628,0.126803,0.0715587,20
33,0.13496,-0.00815725,0,-2.68949e-10,3.23675e-17,3.18717e-17,0.065628,0.126803,0.0715587,20
34,0.13496,-0.00815725,0,1.55882e-10,1.72508e-17,1.71524e-16,0.065628,0.126803,0.0715587,20
35,0.13496,-0.00815725,0,6.0805e-11,1.26451e-16,9.74768e-18,0.065628,0.126803,0.0715587,20
36,0.13496,-0.00815725,0,-6.08042e-11,1.80155e-16,-3.0545e-16,0.065628,0.126803,0.0715587,20
37,0.13496,-0.00815725,0,-1.55881e-10,-5.78145e-16,8.67294e-17,0.065628,0.126803,0.0715587,20
38,0.13496,-0.00815725,0,2.67147e-16,-6.25279e-16,-2.57291e-17,0.065628,0.126803,0.0715587,20
39,0.13496,-0.00815725,0,1.55881e-10,-2.58456e-16,-1.13445e-15,0.065628,0.126803,0.0715587,20
40,0.135653,-0.00807654,0,0.000485463,-3.40289e-16,2.79871e-16,0.0659348,0.127576,0.0718664,20
41,0.00307097,-0.00807654,0,-0.000485463,-4.84584e-18,1.90626e-18,0.00471808,-0.00500557,0.00559486,20
42,0.00183385,-0.00815725,0,-9.36265e-11,2.56047e-17,8.83209e-18,0.00434263,-0.00632339,0.00499555,20
43,0.00183385,-0.00815725,0,-2.42861e-17,-3.34377e-17,1.84473e-17,0.00434263,-0.00632339,0.00499555,20
44,0.00183385,-0.00815725,0,3.62225e-10,-7.18772e-17,-1.13957e-17,0.00434263,-0.00632339,0.00499555,20
45,0.00183385,-0.00815725,0,1.34768e-10,-4.47734e-17,-1.33661e-16,0.00434263,-0.00632339,0.00499555,20
46,0.00183385,-0.00815725,0,-1.34768e-10,8.2455e-17,-2.51309e-16,0.00434263,-0.00632339,0.00499555,20
47,0.00183385,-0.00815725,0,-3.62225e-10,-1.51063e-16,6.86541e-17,0.00434263,-0.00632339,0.00499555,20
48,0.00183385,-0.00815725,0,-3.33067e-16,1.91272e-16,3.67152e-18,0.00434263,-0.00632339,0.00499555,20
49,0.00183385,-0.00815725,0,2.95261e-10,-3.48691e-16,-2.49309e-16,0.00434263,-0.00632339,0.00499555,20
50,0.00307097,-0.00807654,0,0.000485463,3.02449e-16,-4.57968e-16,0.00471808,-0.00500557,0.00559486,20
51,0.626441,-0.00807654,0,-0.000485463,-4.07863e-18,-2.57952e-18,0.297229,0.618364,0.317259,20
52,0.62831,-0.00815725,0,5.80674e-10,-3.26887e-18,-2.55344e-17,0.29813,0.620153,0.318234,20
53,0.62831,-0.00815725,0,-1.57888e-10,1.09302e-16,6.57847e-17,0.29813,0.620153,0.318234,20
54,0.62831,-0.00815725,0,-3.49017e-10,1.69729e-17,-6.74775e-17,0.29813,0.620153,0.318234,20
55,0.62831,-0.00815725,0,2.02152e-10,-5.36143e-17,-2.60241e-16,0.29813,0.620153,0.318234,20
56,0.62831,-0.00815725,0,-2.02154e-10,-7.82427e-19,-3.84186e-17,0.29813,0.620153,0.318234,20
57,0.62831,-0.00815725,0,3.49016e-10,-1.652e-17,-1.48377e-16,0.29813,0.620153,0.318234,20
