ElementID,exx,eyy,ezz,exy,eyz,exz,VonMises,Volumetric,MaxShear,Jacobian
1,0,-0.921783,-0.921783,-0.0576491,1.875e-10,-0.0674984,0.440535,-1.84357,0.469362,20
2,0,-0.767274,-0.767274,-0.0463803,3.125e-10,-0.0756857,0.368887,-1.53455,0.393773,20
3,0,-0.618496,-0.618496,-0.0339694,1.46875e-10,-0.0820094,0.300435,-1.23699,0.321736,20
4,0,-0.479112,-0.479112,-0.0207221,1.46875e-10,-0.0863137,0.2372,-0.958224,0.255473,20
5,0,-0.352554,-0.352554,-0.00696453,2.08167e-17,-0.0884927,0.181312,-0.705108,0.197365,20
6,0,-0.241938,-0.241938,0.00696453,-6.25e-11,-0.0884927,0.135132,-0.483876,0.150043,20
7,0,-0.149988,-0.149988,0.0207221,8.43751e-11,-0.0863137,0.101253,-0.299976,0.116205,20
8,0,-0.0789685,-0.0789685,0.0339694,8.4375e-11,-0.0820094,0.0814786,-0.157937,0.0971518,20
9,0,-0.0306276,-0.0306276,0.0463803,6.25001e-11,-0.0756857,0.0739015,-0.0612551,0.0900776,20
10,0,-0.00615583,-0.00615583,0.0576491,5.76796e-17,-0.0674984,0.0725355,-0.0123117,0.0888197,20
11,0,-0.921783,-0.921783,-0.0263622,2.4375e-10,-0.0650361,0.438294,-1.84357,0.466203,20
12,0,-0.767274,-0.767274,-0.0158638,1.91875e-10,-0.0683594,0.366207,-1.53455,0.390003,20
13,0,-0.618496,-0.618496,-0.0049747,-1.08125e-10,-0.0699994,0.297139,-1.23699,0.31711,20
14,0,-0.479112,-0.479112,0.00603686,3.75002e-11,-0.0699158,0.23301,-0.958224,0.249623,20
15,0,-0.352554,-0.352554,0.0168998,1.5625e-10,-0.0681107,0.175796,-0.705108,0.189732,20
16,0,-0.241938,-0.241938,0.0273466,6.25002e-11,-0.0646284,0.127635,-0.483876,0.139851,20
17,0,-0.149988,-0.149988,0.03712,3.81639e-17,-0.0595548,0.0910073,-0.299976,0.102707,20
18,0,-0.0789685,-0.0789685,0.0459794,3.12501e-11,-0.0530147,0.0683293,-0.157937,0.0805212,20
19,0,-0.0306276,-0.0306276,0.0537066,6.25e-11,-0.0451692,0.0590895,-0.0612551,0.0718274,20
20,0,-0.00615583,-0.00615583,0.0601115,3.125e-11,-0.0362116,0.0573719,-0.0123117,0.0702434,20
21,0,-0.921783,-0.921783,0.00492466,1.3125e-10,-0.0625738,0.437544,-1.84357,0.465146,20
22,0,-0.767274,-0.767274,0.0146527,5.8125e-11,-0.061033,0.365309,-1.53455,0.388738,20
23,0,-0.618496,-0.618496,0.02402,-1.325e-10,-0.0579894,0.296032,-1.23699,0.315554,20
24,0,-0.479112,-0.479112,0.0327958,-1.21875e-10,-0.0535179,0.231597,-0.958224,0.247643,20
25,0,-0.352554,-0.352554,0.0407641,-6.24999e-11,-0.0477286,0.173918,-0.705108,0.187118,20
26,0,-0.241938,-0.241938,0.0477286,9.71445e-17,-0.0407641,0.125036,-0.483876,0.136284,20
27,0,-0.149988,-0.149988,0.0535179,-3.12491e-12,-0.0327958,0.0873253,-0.299976,0.0977949,20
28,0,-0.0789685,-0.0789685,0.0579894,7.50013e-12,-0.02402,0.0633425,-0.157937,0.0741535,20
29,0,-0.0306276,-0.0306276,0.061033,-1.08125e-10,-0.0146527,0.0532442,-0.0612551,0.0646084,20
30,0,-0.00615583,-0.00615583,0.0625738,-1.1875e-10,-0.00492466,0.0513314,-0.0123117,0.0628427,20
31,0,-0.921783,-0.921783,0.0362116,3.12502e-11,-0.0601115,0.438294,-1.84357,0.466203,20
32,0,-0.767274,-0.767274,0.0451692,2.01228e-16,-0.0537066,0.366207,-1.53455,0.390003,20
33,0,-0.618496,-0.618496,0.0530147,-9.37499e-11,-0.0459794,0.297139,-1.23699,0.31711,20
34,0,-0.479112,-0.479112,0.0595548,-6.24998e-11,-0.03712,0.23301,-0.958224,0.249623,20
35,0,-0.352554,-0.352554,0.0646284,-6.24998e-11,-0.0273466,0.175796,-0.705108,0.189732,20
36,0,-0.241938,-0.241938,0.0681107,-1.5625e-10,-0.0168998,0.127635,-0.483876,0.139851,20
37,0,-0.149988,-0.149988,0.0699158,-8.75e-11,-0.00603686,0.0910073,-0.299976,0.102707,20
38,0,-0.0789685,-0.0789685,0.0699994,-4.5625e-11,0.0049747,0.0683293,-0.157937,0.0805212,20
39,0,-0.0306276,-0.0306276,0.0683594,-4.5625e-11,0.0158638,0.0590895,-0.0612551,0.0718274,20
40,0,-0.00615583,-0.00615583,0.0650361,6.25004e-12,0.0263622,0.0573719,-0.0123117,0.0702434,20
41,0,-0.921783,-0.921783,0.0674984,-1.875e-10,-0.0576491,0.440535,-1.84357,0.469362,20
42,0,-0.767274,-0.767274,0.0756857,-3.125e-10,-0.0463803,0.368887,-1.53455,0.393773,20
43,0,-0.618496,-0.618496,0.0820094,-1.46875e-10,-0.0339694,0.300435,-1.23699,0.321736,20
44,0,-0.479112,-0.479112,0.0863137,-1.46875e-10,-0.0207221,0.2372,-0.958224,0.255473,20
45,0,-0.352554,-0.352554,0.0884927,1.73472e-16,-0.00696453,0.181312,-0.705108,0.197365,20
46,0,-0.241938,-0.241938,0.0884927,6.25001e-11,0.00696453,0.135132,-0.483876,0.150043,20
47,0,-0.149988,-0.149988,0.0863137,-8.4375e-11,0.0207221,0.101253,-0.299976,0.116205,20
48,0,-0.0789685,-0.0789685,0.0820094,-8.4375e-11,0.0339694,0.0814786,-0.157937,0.0971518,20
49,0,-0.0306276,-0.0306276,0.0756857,-6.25e-11,0.0463803,0.0739015,-0.0612551,0.0900776,20
50,0,-0.00615583,-0.00615583,0.0674984,-5.46438e-17,0.0576491,0.0725355,-0.0123117,0.0888197,20
51,0,-0.921783,-0.921783,-0.0601115,-3.12501e-11,-0.0362116,0.438294,-1.84357,0.466203,20
52,0,-0.767274,-0.767274,-0.0537066,-6.93889e-17,-0.0451692,0.366207,-1.53455,0.390003,20
53,0,-0.618496,-0.618496,-0.0459794,9.37498e-11,-0.0530147,0.297139,-1.23699,0.31711,20
54,0,-0.479112,-0.479112,-0.03712,6.24999e-11,-0.0595548,0.23301,-0.958224,0.249623,20
55,0,-0.352554,-0.352554,-0.0273466,6.24999e-11,-0.0646284,0.175796,-0.705108,0.189732,20
56,0,-0.241938,-0.241938,-0.0168998,1.5625e-10,-0.0681107,0.127635,-0.483876,0.139851,20
57,0,-0.149988,-0.149988,-0.00603686,8.75e-11,-0.0699158,0.0910073,-0.299976,0.102707,20
58,0,-0.0789685,-0.0789685,0.0049747,4.5625e-11,-0.0699994,0.0683293,-0.157937,0.0805212,20
59,0,-0.0306276,-0.0306276,0.0158638,4.5625e-11,-0.0683594,0.0590895,-0.0612551,0.0718274,20
60,0,-0.00615583,-0.00615583,0.0263622,-6.25004e-12,-0.0650361,0.0573719,-0.0123117,0.0702434,20
